cusip,description,maturity,coupon,weight_pct,clean_price,yield_pct,duration,convexity,bid_ask_bps,liquidity_score
91282CJX8,UST 0.875% 08/15/2033,2033-08-15,0.875,5.56,78.94,4.18,6.58,50.8,0.25,5.00
91282CJY6,UST 1.000% 10/15/2033,2033-10-15,1.000,5.56,79.86,4.17,6.71,52.9,0.28,5.00
91282CJZ3,UST 1.125% 12/15/2033,2033-12-15,1.125,5.56,81.42,4.16,6.86,55.4,0.30,4.95
91282CKA1,UST 1.375% 02/15/2034,2034-02-15,1.375,5.56,83.31,4.15,7.01,57.8,0.34,4.95
91282CKB9,UST 1.500% 04/15/2034,2034-04-15,1.500,5.56,84.76,4.14,7.14,60.3,0.36,4.95
91282CKC7,UST 1.750% 06/15/2034,2034-06-15,1.750,5.56,87.08,4.13,7.28,62.7,0.40,4.90
91282CKD5,UST 2.000% 08/15/2034,2034-08-15,2.000,5.56,89.41,4.12,7.41,65.2,0.44,4.90
91282CKE3,UST 2.250% 10/15/2034,2034-10-15,2.250,5.56,91.18,4.10,7.54,67.8,0.48,4.85
91282CKF0,UST 2.500% 12/15/2034,2034-12-15,2.500,5.56,93.07,4.08,7.66,70.4,0.52,4.85
91282CKG8,UST 2.750% 02/15/2035,2035-02-15,2.750,5.56,95.14,4.06,7.79,73.0,0.56,4.85
91282CKH6,UST 3.000% 04/15/2035,2035-04-15,3.000,5.55,97.36,4.05,7.92,75.7,0.60,4.80
91282CKJ2,UST 3.125% 06/15/2035,2035-06-15,3.125,5.55,98.72,4.04,8.03,78.2,0.64,4.80
91282CKK0,UST 3.250% 08/15/2035,2035-08-15,3.250,5.55,100.14,4.03,8.14,80.8,0.68,4.75
91282CKL8,UST 3.500% 10/15/2035,2035-10-15,3.500,5.55,102.83,4.01,8.27,83.6,0.74,4.75
91282CKM5,UST 3.750% 12/15/2035,2035-12-15,3.750,5.55,104.71,4.00,8.40,85.9,0.82,4.70
91282CKN3,UST 4.000% 02/15/2036,2036-02-15,4.000,5.55,106.37,3.98,8.52,87.4,0.92,4.70
91282CKP8,UST 4.250% 03/15/2036,2036-03-15,4.250,5.55,108.18,3.96,8.63,88.1,1.02,4.65
91282CKQ6,UST 4.375% 04/15/2036,2036-04-15,4.375,5.55,109.24,3.95,8.74,88.8,1.10,4.60
