cusip,description,maturity,coupon,weight_pct,clean_price,yield_pct,duration,spread_duration,convexity,bid_ask_bps,liquidity_score
037833EA5,AAPL 2.450% 11/04/2030,2030-11-04,2.450,4.90,93.10,4.15,4.18,3.971,20.1,5.00,3.90
46647PCE3,JPM 3.625% 12/01/2030,2030-12-01,3.625,4.80,96.22,4.55,4.14,3.933,20.0,6.00,3.80
594918BZ6,MSFT 3.700% 08/08/2031,2031-08-08,3.700,4.70,97.12,4.32,4.71,4.474,25.7,6.50,3.80
023135BS4,AMZN 3.150% 08/22/2031,2031-08-22,3.150,4.60,94.26,4.38,4.79,4.550,26.4,7.00,3.70
06051GKY8,BAC 4.125% 01/20/2032,2032-01-20,4.125,4.60,97.54,4.62,5.01,4.759,29.3,7.50,3.70
38141GYM3,GS 3.500% 04/01/2032,2032-04-01,3.500,4.50,93.98,4.68,5.24,4.978,31.7,8.00,3.60
931142ER5,WMT 4.000% 09/15/2032,2032-09-15,4.000,4.50,98.44,4.28,5.55,5.272,35.8,8.50,3.60
478160CT4,JNJ 3.550% 03/01/2033,2033-03-01,3.550,4.40,96.07,4.22,5.97,5.671,41.1,8.50,3.50
742718EZ8,PG 3.300% 03/15/2033,2033-03-15,3.300,4.40,94.12,4.30,6.03,5.728,41.8,9.00,3.50
882508BG6,TXN 4.100% 05/15/2033,2033-05-15,4.100,4.30,98.50,4.35,6.03,5.728,42.4,9.50,3.40
907818GD2,UNH 4.250% 06/15/2033,2033-06-15,4.250,4.30,99.09,4.40,6.07,5.766,43.0,10.00,3.40
17275RBN4,CSCO 3.900% 02/15/2034,2034-02-15,3.900,4.20,96.35,4.46,6.61,6.280,50.9,10.50,3.30
58013MFM3,MCD 4.450% 09/01/2034,2034-09-01,4.450,4.20,99.64,4.50,6.88,6.536,55.9,11.00,3.30
20030NCW5,CMCSA 3.750% 04/01/2035,2035-04-01,3.750,4.10,93.02,4.72,7.41,7.039,64.3,12.00,3.20
191216DM7,KO 4.200% 06/01/2035,2035-06-01,4.200,4.10,97.21,4.58,7.43,7.058,65.3,12.50,3.20
172967NU1,CVX 4.300% 03/01/2036,2036-03-01,4.300,4.00,97.34,4.64,7.90,7.505,74.2,13.00,3.10
14913R2A2,CAT 4.500% 05/15/2036,2036-05-15,4.500,4.00,98.41,4.70,7.97,7.571,76.0,13.50,3.10
91324PEP7,VZ 4.750% 04/01/2037,2037-04-01,4.750,3.90,98.57,4.92,8.40,7.980,85.8,14.50,3.00
94974BGX3,WFC 5.000% 06/15/2037,2037-06-15,5.000,3.90,99.57,5.05,8.43,8.008,87.1,15.00,3.00
30231GBG4,XOM 4.650% 03/15/2038,2038-03-15,4.650,3.80,98.12,4.86,8.99,8.540,98.9,16.00,2.90
459200KY6,IBM 4.650% 05/15/2038,2038-05-15,4.650,3.80,97.92,4.88,9.08,8.626,101.1,16.50,2.90
254687FM3,DIS 5.000% 07/15/2039,2039-07-15,5.000,3.70,99.81,5.02,9.57,9.092,114.4,18.00,2.80
438516CZ4,HON 5.100% 08/01/2040,2040-08-01,5.100,3.40,99.79,5.12,10.03,9.528,127.5,20.00,2.70
02079KAF8,GOOGL 4.950% 05/15/2041,2041-05-15,4.950,2.90,98.95,5.05,10.48,9.956,139.9,22.00,2.60
