cusip,description,maturity,coupon,weight_pct,clean_price,yield_pct,duration,convexity,bid_ask_bps,liquidity_score
91282C8A1,UST 0.875% 05/15/2033,2033-05-15,0.875,9.00,91.25,4.78,7.88,69.5,1.20,4.70
91282C7Z4,UST 1.125% 08/15/2033,2033-08-15,1.125,8.50,92.10,4.70,8.02,71.0,1.10,4.70
91282C8D5,UST 1.500% 11/15/2033,2033-11-15,1.500,8.00,93.05,4.62,8.10,72.4,1.00,4.80
91282C9B3,UST 2.000% 02/15/2034,2034-02-15,2.000,7.50,94.80,4.48,8.22,73.8,1.00,4.70
91282C9F4,UST 2.250% 05/15/2034,2034-05-15,2.250,7.00,95.55,4.40,8.33,75.1,1.10,4.60
91282CA12,UST 2.500% 08/15/2034,2034-08-15,2.500,6.50,96.20,4.33,8.41,76.6,1.20,4.60
91282CA45,UST 3.000% 11/15/2034,2034-11-15,3.000,6.00,97.35,4.22,8.50,77.8,1.20,4.50
91282CB78,UST 3.125% 02/15/2035,2035-02-15,3.125,5.80,98.10,4.14,8.61,79.0,1.30,4.40
91282CC90,UST 3.375% 05/15/2035,2035-05-15,3.375,5.60,98.85,4.05,7.92,68.4,1.10,4.50
91282CD34,UST 3.625% 08/15/2035,2035-08-15,3.625,5.40,99.55,3.98,7.76,66.9,1.00,4.60
91282CE56,UST 4.000% 11/15/2035,2035-11-15,4.000,5.20,100.20,3.90,7.60,64.5,0.90,4.70
91282CF89,UST 4.250% 02/15/2036,2036-02-15,4.250,5.00,101.05,3.84,7.47,63.0,0.90,4.80
91282CG11,UST 4.500% 04/15/2036,2036-04-15,4.500,4.80,101.65,3.77,7.35,61.8,0.80,4.80
91282CH22,UST 5.000% 04/30/2036,2036-04-30,5.000,4.20,102.40,3.70,7.12,60.4,0.80,4.90
91282CL10,UST 1.875% 11/15/2031,2031-11-15,1.875,4.00,94.15,4.65,5.55,35.2,1.60,4.30
91282CM21,UST 2.250% 05/15/2032,2032-05-15,2.250,3.50,95.40,4.48,5.92,38.1,1.50,4.40
91282CN32,UST 1.750% 11/15/2032,2032-11-15,1.750,3.00,93.60,4.70,6.05,39.0,1.60,4.20
91282CZ99,UST 4.750% 12/15/2036,2036-12-15,4.750,1.00,104.30,3.55,8.95,86.4,0.90,4.90
